"auctionEndDate","auctionResultAuctionEnded","auctionResultBids","auctionResultHighBid","auctionResultReserveMet","auctionResultViews","auctionResultWatchers","auctionStatus","auctionUrl","countryCode","countryCodeAlpha3","currency","currentBid","currentBidFormatted","description","currentBidder","detailLocation","era","id","inSubscription","listingDetails/0","listingDetails/1","listingDetails/2","listingDetails/3","listingDetails/4","listingDetails/5","listingDetails/6","listingDetails/7","listingDetails/8","listingDetails/9","listingDetails/10","listingDetails/11","listingDetails/12","listingDetails/13","listingDetails/14","listingDetails/15","listingDetails/16","listingDetails/17","listingDetails/18","listingDetails/19","listingDetails/20","listingDetails/21","listingDetails/22","listingDetails/23","listingDetails/24","listingDetails/25","listingDetails/26","listingDetails/27","listingDetails/28","listingDetails/29","listingDetails/30","lotNumber","model","make","noReserve","privatePartyOrDealer","repeat","reserveMet","soldText","title","views"
"2026-01-17T19:25:18.000Z","January 17, 2026 at 11:25AM PT","29","54911","false","11632","1516","ended","https://bringatrailer.com/listing/1983-porsche-911sc-158/","US","USA","USD","54911","USD $54,911","This 1983 Porsche 911SC coupe was registered in Missouri from new until it was acquired by the seller &lt;a href=&quot;https://bringatrailer.com/listing/1983-porsche-911sc-128/&quot; target=&quot;_blank&quot; rel=&quot;noopener&quot;&gt;on BaT in August 2024&lt;/a&gt;. Finished in black over black leather, the car is powered by a 3.0-liter flat-six paired with a five-speed manual transaxle.","shannonharper","Located in United States","1980s","107607826","false","Chassis: WP0AA0911DS122485","132k Miles Shown","3.0-Liter Flat-Six","Five-Speed Manual Transaxle","Black Paint","Black Leather Upholstery","16"" Fuchs Alloy Wheels","Front Chin Spoiler","Rear Spoiler","Power Sunroof","Front Sport Seats","MOMO Steering Wheel","Power Windows","Continental Stereo w/Bluetooth","Accident-Free Carfax Report",,,,,,,,,,,,,,,,,"226826","Porsche 911SC","Porsche","false","Private Party","true","false","Sold for USD $54,911 <span> on 1/17/26 </span>","1983 Porsche 911SC Coupe","0 Views"
"2026-01-17T19:04:36.000Z","January 17, 2026 at 11:04AM PT","48","58000","false","16804","1861","ended","https://bringatrailer.com/listing/1977-porsche-911s-coupe-44/","US","USA","USD","58000","USD $58,000","This 1977 Porsche 911s Coupe remained in the care of its original owner until it was acquired on BaT in March 2024 by the seller, who subsequently installed a wood-trimmed shift knob and MOMO steering wheel. Refinished in beige over Cork leather, the car is powered by an overhauled 2.7-liter flat-six paired with a rebuilt five-speed manual…","Lauren_S","Located in United States","1970s","107030300","false","Chassis: 9117200891","250k Miles Shown","Overhauled 2.7-Liter Flat-Six","Rebuilt 5-Speed Manual Transaxle","Mahle Pistons & Cylinders","Repainted Beige","Cork Leather Upholstery","Sunroof","H4 Headlight Conversion","Fog Lights","15"" Fuchs Wheels","Bilstein Shocks","Polished Heat Exchangers","Dansk Muffler","Air Conditioning","Pioneer Head Unit","MOMO Steering Wheel","Wood Shift Knob",,,,,,,,,,,,,,"226785","Porsche 911 1974-1977","Porsche","false","Private Party","true","false","Sold for USD $58,000 <span> on 1/17/26 </span>","1977 Porsche 911S Coupe 5-Speed","0 Views"
"2026-01-17T18:31:14.000Z","January 17, 2026 at 10:31AM PT","32","36000","false","8008","900","ended","https://bringatrailer.com/listing/2006-porsche-911-carrera-s-cabriolet-66-2/","US","USA","USD","36000","USD $36,000","This 2006 Porsche 911 Carrera S is a silver-over-black cabriolet that was exported to Canada in 2013 and was relocated back to the US in 2024. Powered by a 3.8-liter flat-six paired with a six-speed manual transaxle, the car is equipped with a black soft top, 19″ Carrera S wheels, the Sport Chrono Package, automatic climate control, heated…","MJFNYC","Located in United States","2000s","106536776","false","Chassis: WP0CB29986S765538","74k Miles","3.8-Liter Flat Six","Six-Speed Manual Transaxle","Arctic Silver Metallic Paint","Black Soft Top","Black Leather Upholstery","19″ Carrera S Wheels","Sport Chrono Package","Heated Power-Adjustable Front Seats","Bose Sound System","Window Sticker",,,,,,,,,,,,,,,,,,,,"226751","Porsche 997 911 Carrera S","Porsche","false","Dealer","false","false","Sold for USD $36,000 <span> on 1/17/26 </span>","2006 Porsche 911 Carrera S Cabriolet 6-Speed","0 Views"
"2026-01-17T18:29:22.000Z","January 17, 2026 at 10:29AM PT","30","56996","false","9159","1027","ended","https://bringatrailer.com/listing/2004-porsche-911-carrera-4s-cabriolet-71/","US","USA","USD","56996","USD $56,996","This 2004 Porsche 911 Carrera 4S cabriolet has 13k miles following history with three registered owners, and it was specified in Carmon Red Metallic over a Graphite Grey full supple leather interior. The car is powered by a 3.6-liter flat-six that drives all four wheels through a six-speed manual transaxle, and was optioned with the Bose High End…","3933514r","Located in United States","2000s","106657793","false","Chassis: WP0CA29994S653685","13k Miles","3.6-Liter Flat-Six","Six-Speed Manual Transaxle","Carmon Red Metallic Paint","Graphite Grey Full Supple Leather","18″ Turbo-Look Wheels","Bose High End Sound Package","Small Dark Wood Package","Body-Color Removable Hardtop","Graphite Grey Convertible Soft Top","Xenon Headlights","Heated Front Seats","Optional Thicker Steering Wheel","Sport Shifter","Window Sticker","Clean Carfax Report",,,,,,,,,,,,,,,"226755","Porsche 996 911 Carrera","Porsche","true","Dealer","false","true","Sold for USD $56,996 <span> on 1/17/26 </span>","13k-Mile 2004 Porsche 911 Carrera 4S Cabriolet 6-Speed","0 Views"
"2026-01-16T20:55:26.000Z","January 16, 2026 at 12:55PM PT","46","109106","false","16882","1602","ended","https://bringatrailer.com/listing/1973-porsche-911t-targa-73/","US","USA","USD","109106","USD $109,106","This 1973 Porsche 911T Targa was acquired by the current owner in 2022 and was refurbished and modified between 2023 and 2024. It has been repainted black and features steel fender flares, a 911S-style front bumper, and an RS-style rear bumper, while the interior was refreshed with black vinyl and fabric fixed-back seats, replacement carpets, and…","706miles2Chi","Located in United States","1970s","107395430","false","Chassis: 9113110547","300 Miles Shown, TMU","2.4-Liter Flat-Six","Dual Weber Carburetors","915 Five-Speed Manual Transaxle","Repainted Black","Black Vinyl And Cloth Upholstery","16"" Fuchs Wheels","Steel Fender Flares","911S-Style Front Bumper","RS-Style Rear Bumper","MOMO Steering Wheel","Leather Window Pull Straps","Fixed-Back Bucket Seats",,,,,,,,,,,,,,,,,,"226722","Porsche LWB 911T (1969-1973)","Porsche","false","Dealer","false","false","Sold for USD $109,106 <span> on 1/16/26 </span>","RSR-Style 1973 Porsche 911T Targa 5-Speed","0 Views"
"2026-01-16T20:39:25.000Z","January 16, 2026 at 12:39PM PT","33","96500","false","32624","2325","ended","https://bringatrailer.com/listing/1979-porsche-930-turbo-139/","US","USA","USD","96500","USD $96,500","This 1979 Porsche 930 Turbo is finished in Black Metallic over black leather upholstery and powered by a turbocharged 3.3-liter flat-six paired with a four-speed manual transaxle. Equipment includes front and rear spoilers, fog lights, 16″ Fuchs wheels, and an aftermarket stereo system. It was previously sold on BaT in March 2023 and was…","MaikoR","Located in United States","1970s","106301803","false","Chassis: 9309800441","98k Miles Shown","Turbocharged 3.3-Liter Flat-Six","Four-Speed Manual Transaxle","Black Metallic Paint","Black Leather Upholstery","16"" Fuchs Alloy Wheels","Tea Tray Rear Spoiler","Fog Lights","Aftermarket Stereo System","Owner's Manual",,,,,,,,,,,,,,,,,,,,,"226729","Porsche 930 Turbo","Porsche","false","Dealer","true","false","Sold for USD $96,500 <span> on 1/16/26 </span>","1979 Porsche 930 Turbo","0 Views"
"2026-01-16T20:34:59.000Z","January 16, 2026 at 12:34PM PT","37","86500","false","5647","837","ended","https://bringatrailer.com/listing/2018-porsche-911-carrera-4-cabriolet-3/","US","USA","USD","86500","USD $86,500","This 2018 Porsche 911 Carrera 4 is a Guards Red-finished cabriolet that has 11k miles through the owner&#039;s purchase in 2022, and it was optioned with the Premium Package Plus. Powered by a twin-turbocharged 3.0L flat-six that drives all four wheels through a seven-speed PDK dual-clutch transaxle, the car is further equipped with black leather…","blakem357","Located in United States","2010s","106710687","false","Chassis: WP0CA2A92JS138521","11k Miles","Twin-Turbocharged 3.0L Flat-Six","Seven-Speed PDK Dual-Clutch Transaxle","Guards Red Paint","Black Leather Upholstery","Black Soft Top","High Gloss Black 20"" Carrera S Alloy Wheels","Premium Package Plus","LED Headlights w/PDLS+","Parking Sensors","Lane Change Assist","Heated and Ventilated Front Seats","Bose Sound System","Sport Exhaust System","Clean Carfax Report",,,,,,,,,,,,,,,,"226707","Porsche 991 911 Carrera 4","Porsche","false","Private Party","false","false","Sold for USD $86,500 <span> on 1/16/26 </span>","11k-Mile 2018 Porsche 911 Carrera 4 Cabriolet","0 Views"
"2026-01-16T20:28:42.000Z","January 16, 2026 at 12:28PM PT","25","242000","false","10724","1230","ended","https://bringatrailer.com/listing/2023-porsche-911-gt3-34/","US","USA","USD","242000","USD $242,000","This 2023 Porsche 911 GT3 has 2,200 miles and is powered by a 4.0-liter flat-six that drives the rear wheels through a six-speed manual transaxle with a mechanical limited-slip differential. Finished in Shark Blue over black leather and Race-Tex upholstery, the car is equipped with the Chrono package, a front-axle lift system, LED headlights, a…",,"Located in United States","2020s","107401151","false","Chassis: WP0AC2A91PS270325","2,200 Miles","4.0-Liter Flat-Six","Six-Speed Manual Transaxle","Shark Blue Paint","Black Leather & Race-Tex Upholstery","20"" & 21"" GT3 Center-Lock Wheels","LED Headlights & Exclusive Design Taillights","Front-Axle Lift System","Bose Sound System","Porsche Communication Management","Fire Extinguisher","Heated Sport Seats","Chrono Package","Clean Carfax Report",,,,,,,,,,,,,,,,,"226714","Porsche 992 911 GT3","Porsche","false","Dealer","false","false","Bid to USD $242,000 <span> on 1/16/26 </span>","2023 Porsche 911 GT3 6-Speed","0 Views"
"2026-01-16T20:25:20.000Z","January 16, 2026 at 12:25PM PT","38","62500","false","7739","997","ended","https://bringatrailer.com/listing/2008-porsche-911-turbo-cabriolet-169/","US","USA","USD","62500","USD $62,500","This 2008 Porsche 911 Turbo cabriolet is finished in GT Silver Metallic over a Cocoa Special leather interior and has 62k miles. It is powered by a twin-turbocharged 3.6L flat-six that drives all four wheels via a five-speed Tiptronic S automatic transaxle, and additional equipment includes a Cocoa soft top, the Sport Chrono Package, 19” Turbo…","Sdiamond","Located in United States","2000s","107307606","false","Chassis: WP0CD29938S708399","62k Miles","Twin-Turbocharged 3.6L Flat-Six","Five-Speed Tiptronic S Automatic Transaxle","GT Silver Metallic Paint","Cocoa Special Leather Upholstery","Cocoa Soft Top","19” Turbo Wheels","Sport Chrono Package","Bi-Xenon Headlights","PCM w/Navigation","Heated Front Sport Seats","Automatic Climate Control","Clean Carfax Report",,,,,,,,,,,,,,,,,,"226703","Porsche 997 911 Turbo","Porsche","false","Dealer","false","false","Sold for USD $62,500 <span> on 1/16/26 </span>","2008 Porsche 911 Turbo Cabriolet","0 Views"
"2026-01-16T20:23:00.000Z","January 16, 2026 at 12:23PM PT","11","45000","false","7756","1134","ended","https://bringatrailer.com/listing/1978-porsche-911sc-targa-84/","US","USA","USD","45000","USD $45,000","This 1978 Porsche 911SC Targa was purchased by the seller while stationed in Germany in 1991, and it is finished in Sienna Metallic over Cork leather upholstery. Powered by a 3.0-liter flat-six paired with a five-speed manual transaxle, the car features  15&quot; ATS &quot;cookie-cutter&quot; alloy wheels, a removable roof panel, a leather-wrapped steering…","jaime210","Located in United States","1970s","107384577","false","Chassis: 9118212116","121k Miles Shown","3.0-Liter Flat-Six","Five-Speed Manual Transaxle","Sienna Metallic Paint","Cork Leather Upholstery","15"" ATS Cookie-Cutter Wheels","Removable Targa Roof Panel","Air Conditioning","Aftermarket Stereo","Spare Set of Wheels",,,,,,,,,,,,,,,,,,,,,"226710","Porsche 911SC","Porsche","false","Private Party","false","false","Sold for USD $45,000 <span> on 1/16/26 </span>","35-Years-Owned 1978 Porsche 911SC Targa","0 Views"
